"legis.annee","groupe.pol","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2007,"UDF/MODEM/UDI/NC/Dém","NA",1,11.1111111111111,100,100,75,75,66.6666666666667,66.6666666666667,0,0,0,0,0,0,100,100,66.6666666666667,66.6666666666667,100,100,30,30
2007,"UDF/MODEM/UDI/NC/Dém","profinter",1,1.25,0,0,62,62,81.0810810810811,81.0810810810811,0,0,0,0,100,100,100,100,81.0810810810811,81.0810810810811,100,100,30,30
2007,"UDF/MODEM/UDI/NC/Dém","proflib",2,2.12765957446809,0,0,48,48,75,75,0,0,100,100,0,0,100,100,75,75,50,50,17,17
2012,"Communiste","artisancommercantpdg",1,4.34782608695652,0,0,51,51,30.7692307692308,30.7692307692308,0,0,100,100,0,0,100,100,30.7692307692308,30.7692307692308,100,100,8,8
2012,"Communiste","cadsuppub",5,2.9585798816568,0,0,63.6,62,72.8402439706788,83.3333333333333,0,0,100,100,0,0,100,100,72.8402439706788,83.3333333333333,20,0,28.8,35
2012,"Communiste","collab",3,2.94117647058824,33.3333333333333,0,51.3333333333333,47,68.341307814992,68.1818181818182,66.6666666666667,100,0,0,0,0,100,100,55.2631578947369,57.8947368421053,66.6666666666667,100,17.3333333333333,15
2012,"Communiste","employe",1,16.6666666666667,0,0,60,60,65.7142857142857,65.7142857142857,0,0,0,0,100,100,100,100,65.7142857142857,65.7142857142857,0,0,23,23
2012,"Communiste","profinter",4,3.80952380952381,25,0,66.25,66.5,77.0085590817298,83.2234673698088,0,0,0,0,100,100,100,100,77.0085590817298,83.2234673698088,25,0,31.5,32.5
2012,"Communiste","proflib",1,1.28205128205128,100,100,65,65,100,100,0,0,100,100,0,0,100,100,100,100,0,0,40,40
2012,"Écologiste","agri",1,5.55555555555556,100,100,56,56,0,0,0,0,100,100,0,0,0,0,0,0,100,100,0,0
2012,"Écologiste","cadsupprive",4,3.7037037037037,75,100,48.75,47,41.5954415954416,49.8575498575498,0,0,100,100,0,0,75,100,41.5954415954416,49.8575498575498,75,100,10.5,9.5
2012,"Écologiste","cadsuppub",5,2.9585798816568,60,100,53.6,50,32.2729138166895,32.5,0,0,100,100,0,0,60,100,32.2729138166895,32.5,100,100,9.4,13
2012,"Écologiste","collab",4,3.92156862745098,25,0,42,40.5,88.421568627451,85.6666666666667,100,100,0,0,0,0,75,100,46.936974789916,54.5882352941177,75,100,15,14
2012,"Écologiste","profinter",3,2.85714285714286,33.3333333333333,0,49.6666666666667,50,21.015873015873,19.047619047619,0,0,0,0,100,100,66.6666666666667,100,21.015873015873,19.047619047619,100,100,5,4
2012,"Écologiste","proflib",1,1.28205128205128,0,0,54,54,48.2758620689655,48.2758620689655,0,0,100,100,0,0,100,100,48.2758620689655,48.2758620689655,100,100,14,14
2012,"Non-inscrits","artisancommercantpdg",1,4.34782608695652,0,0,57,57,100,100,0,0,100,100,0,0,100,100,100,100,0,0,32,32
