"legis.annee","cabcollab","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2007,"Ancien collaborateur","cadsuppub",66,33.6734693877551,12.1212121212121,0,54.6363636363636,55,66.6097214344496,65.8333333333333,100,100,100,100,0,0,92.4242424242424,100,56.6214946308925,53.8095238095238,22.7272727272727,0,19.4242424242424,18
2007,"Ancien collaborateur","collab",85,92.3913043478261,15.2941176470588,0,49.3294117647059,50,87.168062874532,92.3076923076923,100,100,0,0,0,0,94.1176470588235,100,64.3131583300549,70,28.2352941176471,0,21.0705882352941,21
2007,"Ancien collaborateur","employe",1,12.5,100,100,55,55,20,20,100,100,0,0,100,100,100,100,20,20,0,0,6,6
2007,"Ancien collaborateur","NA",2,22.2222222222222,50,50,48,48,75,75,100,100,0,0,0,0,100,100,59.6153846153846,59.6153846153846,50,50,16.5,16.5
2007,"Ancien collaborateur","profinter",8,10,25,0,54.75,56.5,78.9657564657565,85.3535353535353,100,100,0,0,100,100,100,100,66.2347374847375,75.1948051948052,12.5,0,23,24
2007,"Ancien collaborateur","proflib",9,9.57446808510638,11.1111111111111,0,53.7777777777778,55,75.8049060678143,84.2105263157895,100,100,100,100,0,0,100,100,62.2694881251258,59.0909090909091,44.4444444444444,0,21.3333333333333,19
2007,"Jamais collaborateur","agri",18,100,11.1111111111111,0,54.9444444444444,56.5,61.2502516544671,65.8646616541354,0,0,100,100,0,0,94.4444444444444,100,61.2502516544671,65.8646616541354,44.4444444444444,0,17.9444444444444,19.5
2007,"Jamais collaborateur","artisancommercantpdg",34,91.8918918918919,8.82352941176471,0,55.5,56,63.2172734978134,65.4761904761905,0,0,100,100,0,0,100,100,63.2172734978134,65.4761904761905,29.4117647058824,0,19.3529411764706,18
2007,"Jamais collaborateur","cadsupprive",85,85,16.4705882352941,0,55.2117647058824,56,64.0077083715178,66.6666666666667,0,0,100,100,0,0,98.8235294117647,100,64.0077083715178,66.6666666666667,21.1764705882353,0,19.2352941176471,18
2007,"Jamais collaborateur","cadsuppub",130,66.3265306122449,19.2307692307692,0,57.2307692307692,58,63.4019802712284,64.9324324324324,0,0,100,100,0,0,96.1538461538462,100,63.4019802712284,64.9324324324324,28.4615384615385,0,20.5230769230769,21
2007,"Jamais collaborateur","collab",7,7.60869565217391,28.5714285714286,0,50.2857142857143,52,51.1176996050946,42.8571428571429,0,0,0,0,0,0,100,100,51.1176996050946,42.8571428571429,57.1428571428571,100,13.8571428571429,12
