"legis.annee","groupe.pol","genre","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2022,"Socialiste","Hommes",20,5.39083557951482,0,0,53.25,55,59.2222600263114,55.126050420168,50,50,60,100,15,0,90,100,52.1816376315374,50.609756097561,50,50,17.7,19.5
2022,"Total","Femmes",226,100,100,100,49.3982300884956,49,39.494227409592,33.3333333333333,25.6637168141593,0,58.8495575221239,100,23.0088495575221,0,65.0442477876106,100,31.9365551083602,27.2727272727273,52.212389380531,100,9.38495575221239,7
2022,"Total","Hommes",371,100,0,0,48.6819407008086,50,54.5957723642466,53.8461538461538,35.3099730458221,0,60.6469002695418,100,15.9029649595687,0,75.2021563342318,100,45.8830850535185,47.5294117647059,49.3261455525606,0,12.5795148247978,8
2022,"UDF/MODEM/UDI/NC/Dém","Femmes",21,9.29203539823009,100,100,49.0476190476191,47,40.9547375300361,36.3636363636364,47.6190476190476,0,66.6666666666667,100,19.047619047619,0,76.1904761904762,100,32.2736229789525,30.4347826086957,33.3333333333333,0,10.2857142857143,8
2022,"UDF/MODEM/UDI/NC/Dém","Hommes",33,8.89487870619946,0,0,56.969696969697,57,45.9087938657399,45.1612903225806,9.09090909090909,0,81.8181818181818,100,12.1212121212121,0,90.9090909090909,100,44.3849010918471,45.1612903225806,30.3030303030303,0,14.8787878787879,12
2024,"Communiste","Femmes",5,2.4390243902439,100,100,46.6,43,38.848385331144,33.3333333333333,20,0,40,0,40,0,80,100,32.1817186644773,33.3333333333333,0,0,7.8,4
2024,"Communiste","Hommes",13,3.49462365591398,0,0,51.4615384615385,51,65.4070952739908,75,23.0769230769231,0,30.7692307692308,0,38.4615384615385,0,100,100,62.8227873546953,74.1935483870968,15.3846153846154,0,18.2307692307692,16
2024,"Écologiste","Femmes",18,8.78048780487805,100,100,47.5,48,61.7454994612036,58.5365853658537,55.5555555555556,100,55.5555555555556,100,5.55555555555556,0,66.6666666666667,100,42.4554757594152,43.75,22.2222222222222,0,13.1666666666667,11.5
2024,"Écologiste","Hommes",20,5.37634408602151,0,0,48.2,48,44.200986837781,44.8028673835125,30,0,75,100,10,0,65,100,35.2669989706035,40.3716216216216,40,0,9.95,9.5
2024,"LC/HOR","Femmes",11,5.36585365853659,100,100,49.8181818181818,55,59.0281406510309,51.6129032258065,18.1818181818182,0,81.8181818181818,100,0,0,72.7272727272727,100,54.2932921661824,51.6129032258065,9.09090909090909,0,13.5454545454545,13
2024,"LC/HOR","Hommes",19,5.10752688172043,0,0,51.5789473684211,54,58.7463052154094,57.1428571428571,26.3157894736842,0,78.9473684210526,100,10.5263157894737,0,78.9473684210526,100,55.446159667944,57.1428571428571,5.26315789473684,0,15.8947368421053,16
