"legis.annee","ProfSigni","genre","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2007,"NA","Hommes",4,0.775193798449612,0,0,45.5,46,59.7222222222222,69.4444444444445,25,0,0,0,0,0,75,100,52.0299145299145,54.059829059829,50,50,13.25,14.5
2007,"ouvrier","Hommes",5,0.968992248062015,0,0,61.4,61,75.2073732718894,85.7142857142857,0,0,0,0,100,100,100,100,75.2073732718894,85.7142857142857,40,0,28.4,36
2007,"profinter","Femmes",27,21.9512195121951,100,100,54.1481481481481,55,55.5443996684047,52.9411764705882,7.40740740740741,0,0,0,100,100,96.2962962962963,100,52.2816130722848,52.1739130434783,59.2592592592593,100,16.8148148148148,17
2007,"profinter","Hommes",53,10.2713178294574,0,0,55.7169811320755,58,71.476173459898,75,11.3207547169811,0,0,0,100,100,98.1132075471698,100,71.2166845211638,75,28.3018867924528,0,22.1132075471698,24
2007,"proflib","Femmes",16,13.0081300813008,100,100,56.4375,58,47.1936470300297,44.9579831932773,6.25,0,100,100,0,0,93.75,100,46.0907058535591,41.4285714285714,43.75,0,15.4375,12
2007,"proflib","Hommes",78,15.1162790697674,0,0,57.2820512820513,57,65.7966298876007,66.6666666666667,10.2564102564103,0,100,100,0,0,97.4358974358974,100,64.461095238105,66.6666666666667,20.5128205128205,0,21.0641025641026,22
2007,"Total","Femmes",123,100,100,100,53.6341463414634,55,55.5211547839148,58.0645161290323,23.5772357723577,0,57.7235772357724,100,26.0162601626016,0,92.6829268292683,100,49.0050946748559,50,46.3414634146341,0,15.7723577235772,15
2007,"Total","Hommes",516,100,0,0,55.2364341085271,56,70.4827929009733,72.972972972973,31.0077519379845,0,72.4806201550388,100,11.8217054263566,0,97.0930232558139,100,66.0802784981615,68.5714285714286,24.031007751938,0,21.0988372093023,22
2012,"agri","Femmes",5,2.9940119760479,100,100,58.2,57,34.0970222306429,48.2758620689655,0,0,100,100,0,0,80,100,34.0970222306429,48.2758620689655,40,0,11.2,14
2012,"agri","Hommes",13,2.85087719298246,0,0,58.0769230769231,58,68.6146511353263,70.8333333333333,0,0,100,100,0,0,100,100,68.6146511353263,70.8333333333333,38.4615384615385,0,22.6153846153846,23
2012,"artisancommercantpdg","Femmes",3,1.79640718562874,100,100,51.6666666666667,56,49.8452264581297,54.8387096774194,0,0,100,100,0,0,100,100,49.8452264581297,54.8387096774194,33.3333333333333,0,14.6666666666667,17
2012,"artisancommercantpdg","Hommes",20,4.3859649122807,0,0,56.15,57,58.3623994912485,60.369532428356,5,0,100,100,0,0,100,100,58.3623994912485,60.369532428356,25,0,18.55,21.5
2012,"cadsupprive","Femmes",20,11.9760479041916,100,100,49.5,50.5,44.1492732594253,39.3358876117497,15,0,100,100,0,0,80,100,40.0009216110736,36.1530172413793,65,100,11.1,11
2012,"cadsupprive","Hommes",88,19.2982456140351,0,0,55.375,56,69.1100273993185,75,30.6818181818182,0,100,100,0,0,90.9090909090909,100,64.7964953952999,70.7825203252033,32.9545454545455,0,21.4090909090909,23
2012,"cadsuppub","Femmes",47,28.1437125748503,100,100,52.1914893617021,53,41.4285371951307,40.7407407407407,27.6595744680851,0,100,100,0,0,87.2340425531915,100,37.6646706374091,35.4838709677419,68.0851063829787,100,11.3404255319149,11
2012,"cadsuppub","Hommes",122,26.7543859649123,0,0,55.5737704918033,56,67.3229222804569,70.3203203203203,36.0655737704918,0,100,100,0,0,94.2622950819672,100,63.3724313779672,66.2878787878788,35.2459016393443,0,21.1147540983607,22.5
2012,"collab","Femmes",19,11.377245508982,100,100,46.2631578947368,44,75.9858753362555,80,84.2105263157895,100,0,0,0,0,84.2105263157895,100,42.1592701006249,40,52.6315789473684,100,16.0526315789474,14
2012,"collab","Hommes",83,18.2017543859649,0,0,47.7469879518072,47,84.3521937890019,89.4736842105263,97.5903614457831,100,0,0,0,0,95.1807228915663,100,61.3774301232366,67.4418604651163,46.9879518072289,0,19.4698795180723,18
2012,"employe","Femmes",2,1.19760479041916,100,100,57.5,57.5,31.4102564102564,31.4102564102564,0,0,0,0,100,100,50,50,31.4102564102564,31.4102564102564,50,50,11,11
2012,"employe","Hommes",4,0.87719298245614,0,0,56,57,37.2499315818281,38.1944444444444,0,0,0,0,100,100,100,100,37.2499315818281,38.1944444444444,25,0,11.75,11
2012,"NA","Femmes",8,4.79041916167665,100,100,55.75,61.5,66.8174385857313,56.6666666666667,12.5,0,0,0,0,0,87.5,100,66.8174385857313,56.6666666666667,50,50,20.25,20
2012,"NA","Hommes",6,1.31578947368421,0,0,53.5,55.5,54.0673003072197,57.3655913978495,33.3333333333333,0,0,0,0,0,83.3333333333333,100,49.7662250384024,44.4623655913978,50,50,15.5,17.5
2012,"profinter","Femmes",48,28.7425149700599,100,100,55.9791666666667,56.5,48.4586178310198,50,8.33333333333333,0,0,0,100,100,91.6666666666667,100,46.3176646483999,47.7225672877846,58.3333333333333,100,15.5,12.5
2012,"profinter","Hommes",57,12.5,0,0,58.3333333333333,59,61.1454140965442,67.6470588235294,14.0350877192982,0,0,0,100,100,94.7368421052632,100,60.2096495905842,67.6470588235294,43.859649122807,0,20.5438596491228,23
2012,"proflib","Femmes",15,8.98203592814371,100,100,54.2,54,50.4999259107549,50,6.66666666666667,0,100,100,0,0,100,100,49.4742848851139,48.5714285714286,53.3333333333333,100,15,16
2012,"proflib","Hommes",63,13.8157894736842,0,0,58.6666666666667,61,66.6673172350542,67.4418604651163,9.52380952380952,0,100,100,0,0,96.8253968253968,100,66.2149304233097,67.4418604651163,15.8730158730159,0,22.6666666666667,23
2012,"Total","Femmes",167,100,100,100,52.8682634730539,54,49.445387124982,50,22.7544910179641,0,53.8922155688623,100,29.940119760479,0,88.0239520958084,100,43.2964435779501,44,59.2814371257485,100,13.8502994011976,12
2012,"Total","Hommes",456,100,0,0,54.9561403508772,56,69.1102688287482,73.2520325203252,37.0614035087719,0,67.1052631578947,100,13.3771929824561,0,94.5175438596491,100,62.8030287228087,66.6666666666667,35.0877192982456,0,20.7894736842105,22.5
2017,"agri","Femmes",2,0.87719298245614,100,100,42,42,24.2424242424242,24.2424242424242,0,0,100,100,0,0,50,50,24.2424242424242,24.2424242424242,100,100,8,8
2017,"agri","Hommes",13,3.64145658263305,0,0,57.0769230769231,59,67.2438789210434,66.6666666666667,0,0,100,100,0,0,92.3076923076923,100,67.2438789210434,66.6666666666667,38.4615384615385,0,22.9230769230769,22
2017,"artisancommercantpdg","Femmes",22,9.64912280701754,100,100,49.4090909090909,50,12.9651937586709,0,9.09090909090909,0,100,100,0,0,36.3636363636364,0,12.2629994013041,0,86.3636363636364,100,3.04545454545455,0
2017,"artisancommercantpdg","Hommes",44,12.3249299719888,0,0,49.5909090909091,48.5,27.7492127249006,19.6691176470588,18.1818181818182,0,100,100,0,0,59.0909090909091,100,26.4752529306042,17.7083333333333,79.5454545454545,100,8.27272727272727,3
2017,"cadsupprive","Femmes",52,22.8070175438597,100,100,43.1346153846154,40,9.29463612415143,0,11.5384615384615,0,100,100,0,0,23.0769230769231,0,7.79733693922547,0,92.3076923076923,100,2.36538461538462,0
2017,"cadsupprive","Hommes",79,22.1288515406162,0,0,47.5569620253165,49,39.5913782014437,36.75,17.7215189873418,0,100,100,0,0,64.5569620253165,100,34.5940352637992,27.6719576719576,73.4177215189873,100,10.2025316455696,7
2017,"cadsuppub","Femmes",46,20.1754385964912,100,100,49.5217391304348,49.5,21.6439133930572,14.1352549889135,13.0434782608696,0,100,100,0,0,58.695652173913,100,20.153896817136,12.25,78.2608695652174,100,5.84782608695652,3
2017,"cadsuppub","Hommes",75,21.0084033613445,0,0,52.88,53,50.7820571701964,57.1428571428571,20,0,100,100,0,0,81.3333333333333,100,47.8584858886513,54.3478260869565,56,100,15.12,16
2017,"collab","Femmes",29,12.719298245614,100,100,46.551724137931,49,75.1995401638554,81.8181818181818,93.1034482758621,100,0,0,0,0,72.4137931034483,100,33.196075816904,32.1428571428571,65.5172413793103,100,15.7586206896552,15
2017,"collab","Hommes",60,16.8067226890756,0,0,48.2166666666667,48,87.7251930300864,92.1538461538462,96.6666666666667,100,0,0,0,0,90,100,64.4256033674817,73.030303030303,50,50,20.1833333333333,20
2017,"employe","Femmes",4,1.75438596491228,100,100,47.75,48,14.4047619047619,17.1428571428571,0,0,0,0,100,100,75,100,14.4047619047619,17.1428571428571,100,100,3.75,4
2017,"employe","Hommes",2,0.560224089635854,0,0,57.5,57.5,22.5,22.5,0,0,0,0,100,100,50,50,22.5,22.5,100,100,9,9
