"legis.annee","elu.local","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2012,"Ancien élu local","proflib",76,97.4358974358974,19.7368421052632,0,58.0657894736842,60.5,65.2307878219702,63.0032206119163,9.21052631578947,0,100,100,0,0,100,100,64.6533538150687,63.0032206119163,21.0526315789474,0,21.75,23
2012,"Jamais élu local","agri",1,5.55555555555556,100,100,56,56,0,0,0,0,100,100,0,0,0,0,0,0,100,100,0,0
2012,"Jamais élu local","cadsupprive",12,11.1111111111111,33.3333333333333,0,44.8333333333333,45,7.57246376811594,0,16.6666666666667,0,100,100,0,0,0,0,3.6231884057971,0,91.6666666666667,100,1.91666666666667,0
2012,"Jamais élu local","cadsuppub",13,7.69230769230769,46.1538461538462,0,46.6923076923077,46,5.6788739715569,0,15.3846153846154,0,100,100,0,0,0,0,1.63170163170163,0,92.3076923076923,100,1.53846153846154,0
2012,"Jamais élu local","collab",7,6.86274509803922,42.8571428571429,0,40.5714285714286,39,54.8341513558905,39.1304347826087,100,100,0,0,0,0,0,0,5.10204081632653,0,85.7142857142857,100,8.14285714285714,9
2012,"Jamais élu local","employe",1,16.6666666666667,100,100,51,51,19.2307692307692,19.2307692307692,0,0,0,0,100,100,0,0,19.2307692307692,19.2307692307692,0,0,5,5
2012,"Jamais élu local","NA",2,14.2857142857143,50,50,31.5,31.5,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0
2012,"Jamais élu local","profinter",7,6.66666666666667,57.1428571428571,100,52.5714285714286,53,3.40136054421769,0,0,0,0,0,100,100,0,0,3.40136054421769,0,85.7142857142857,100,0.714285714285714,0
2012,"Jamais élu local","proflib",2,2.56410256410256,0,0,48,48,0,0,0,0,100,100,0,0,0,0,0,0,100,100,0,0
2012,"Total","agri",18,100,27.7777777777778,0,58.1111111111111,57.5,59.0264208840253,65,0,0,100,100,0,0,94.4444444444444,100,59.0264208840253,65,38.8888888888889,0,19.4444444444444,17.5
2012,"Total","artisancommercantpdg",23,100,13.0434782608696,0,55.5652173913044,57,57.251463878233,58.974358974359,4.34782608695652,0,100,100,0,0,100,100,57.251463878233,58.974358974359,26.0869565217391,0,18.0434782608696,21
2012,"Total","cadsupprive",108,100,18.5185185185185,0,54.287037037037,54,64.4876655215605,69.8896631823461,27.7777777777778,0,100,100,0,0,88.8888888888889,100,60.204722472295,65.821566110398,38.8888888888889,0,19.5,22
2012,"Total","cadsuppub",169,100,27.810650887574,0,54.6331360946746,56,60.1215252448928,66.6666666666667,33.7278106508876,0,100,100,0,0,92.3076923076923,100,56.2229357873978,60.5263157894737,44.3786982248521,0,18.396449704142,18
2012,"Total","collab",102,100,18.6274509803922,0,47.4705882352941,46.5,82.7937619203531,88.5164835164836,95.0980392156863,100,0,0,0,0,93.1372549019608,100,57.7975767856913,57.9796264855688,48.0392156862745,0,18.8333333333333,17
